date,close,us_stock_index,eu_stock_index,de_stock_index,eu_interest_rate,de_interest_rate,us_inflation_rate,eu_inflation_rate,fed_exchange_rate
2019-08-28 20:00:00,-0.00015,2887.94,2962.5,11701.02,0.25,-0.39,1.36,1.0,2.12
2019-08-29 00:00:00,0.00082,2887.94,3007.5,11838.88,0.25,-0.39,1.39,1.0,2.12
2019-08-29 04:00:00,-0.0004,2887.94,3013.5,11838.88,0.25,-0.39,1.39,1.0,2.12
2019-08-29 08:00:00,-0.00049,2925.07,3021.5,11838.88,0.25,-0.39,1.39,1.0,2.12
2019-08-29 12:00:00,-0.00061,2924.42,3021.5,11838.88,0.25,-0.39,1.39,1.0,2.12
2019-08-29 16:00:00,-0.00173,2924.58,3019.5,11838.88,0.25,-0.39,1.39,1.0,2.12
2019-08-29 20:00:00,0.00034,2924.58,3028.5,11838.88,0.25,-0.39,1.39,1.0,2.12
2019-08-30 00:00:00,-0.00024,2924.58,3045.5,11939.28,0.25,-0.39,1.35,1.0,2.13
2019-08-30 04:00:00,-0.00092,2924.58,3047.5,11939.28,0.25,-0.39,1.35,1.0,2.13
2019-08-30 08:00:00,-0.00067,2922.51,3039.5,11939.28,0.25,-0.39,1.35,1.0,2.13
2019-08-30 12:00:00,0.0,2925.03,3040.5,11939.28,0.25,-0.39,1.35,1.0,2.13
2019-08-30 16:00:00,-0.00508,2926.46,3040.5,11939.28,0.25,-0.39,1.35,1.0,2.13
2019-08-30 20:00:00,0.00021,2926.46,3040.5,11939.28,0.25,-0.39,1.35,1.0,2.13
2019-09-02 00:00:00,-0.00018,2926.46,3039.5,11953.78,0.25,-0.65,1.35,1.0,2.13
2019-09-02 04:00:00,3e-05,2926.46,3043.5,11953.78,0.25,-0.65,1.35,1.0,2.13
2019-09-02 08:00:00,-0.00152,2926.46,3029.5,11953.78,0.25,-0.65,1.35,1.0,2.13
2019-09-02 12:00:00,-0.00071,2926.46,3033.5,11953.78,0.25,-0.65,1.35,1.0,2.13
2019-09-02 16:00:00,0.00079,2926.46,3037.5,11953.78,0.25,-0.65,1.35,1.0,2.13
2019-09-02 20:00:00,-0.00038,2926.46,3040.5,11953.78,0.25,-0.65,1.35,1.0,2.13
2019-09-03 00:00:00,-0.0016,2926.46,3024.5,11910.86,0.25,-0.65,1.29,1.0,2.13
2019-09-03 04:00:00,-0.00132,2926.46,3028.5,11910.86,0.25,-0.65,1.29,1.0,2.13
2019-09-03 08:00:00,0.00086,2905.03,3027.5,11910.86,0.25,-0.65,1.29,1.0,2.13
2019-09-03 12:00:00,-0.00093,2906.64,3029.5,11910.86,0.25,-0.65,1.29,1.0,2.13
