date,close,MA10,MACD,ROC,Momentum,RSI,Bollinger_Up,Bollinger_Down,CCI
2015-01-28 12:00:00,-0.00118,1.13276,-0.0024,-0.04051,-0.00299,53.04875,1.14562,1.1199,0.35463
2015-01-28 16:00:00,0.00036,1.13381,-0.00204,-0.07217,0.00194,53.72627,1.14688,1.12074,0.24327
2015-01-28 20:00:00,-0.00675,1.1343,-0.00226,-0.56298,-0.00685,41.30786,1.14715,1.12145,-0.87964
2015-01-29 00:00:00,-7e-05,1.13398,-0.00242,-0.60067,-0.00764,41.19813,1.14673,1.12123,-0.84698
2015-01-29 04:00:00,-0.00123,1.13334,-0.00262,-0.11518,-0.00769,39.1669,1.14546,1.12122,-0.9884
2015-01-29 08:00:00,0.00413,1.13297,-0.00241,0.25696,-0.00392,48.61824,1.14359,1.12235,-0.28052
2015-01-29 12:00:00,0.00078,1.13239,-0.00216,0.43553,0.00361,50.24054,1.14153,1.12325,-0.02845
2015-01-29 16:00:00,-0.00195,1.13208,-0.00209,-0.1034,0.00173,46.18953,1.14081,1.12335,-0.40537
2015-01-29 20:00:00,0.00154,1.13171,-0.00189,-0.03621,0.0045,49.74527,1.14022,1.1232,0.0329
2015-01-30 00:00:00,0.00139,1.13142,-0.0016,0.25922,0.00176,52.86865,1.13982,1.12302,0.43341
2015-01-30 04:00:00,0.00059,1.1313,-0.00131,0.17493,0.00157,54.21081,1.1389,1.1237,0.66555
2015-01-30 08:00:00,-0.00295,1.13084,-0.0013,-0.20825,0.00057,46.80585,1.13768,1.124,0.0117
2015-01-30 12:00:00,0.00084,1.13115,-0.00122,-0.18609,-0.00013,49.00949,1.1367,1.1256,0.20548
2015-01-30 16:00:00,-0.00306,1.13116,-0.00138,-0.19631,-0.00458,41.97174,1.13699,1.12533,-0.85796
2015-01-30 20:00:00,-0.00022,1.13127,-0.00151,-0.28982,-0.00539,41.49573,1.13735,1.12519,-0.93106
2015-02-02 00:00:00,0.00303,1.13127,-0.00135,0.24897,0.00059,50.14781,1.1372,1.12534,0.06743
2015-02-02 04:00:00,-0.00069,1.13112,-0.00126,0.20737,-0.00094,48.33899,1.13638,1.12586,-0.1293
2015-02-02 08:00:00,0.0044,1.1316,-0.00083,0.32789,0.00652,58.85442,1.13703,1.12617,1.31862
2015-02-02 12:00:00,-0.0041,1.13153,-0.00081,0.02653,0.00264,48.61018,1.13669,1.12637,-0.17456
2015-02-02 16:00:00,0.00214,1.13153,-0.00062,-0.17266,0.00175,53.32211,1.13628,1.12678,0.71139
2015-02-02 20:00:00,0.00091,1.13156,-0.00038,0.26965,0.00335,55.26032,1.13618,1.12694,1.11183
2015-02-03 00:00:00,0.00055,1.13194,-0.00015,0.12884,-0.0005,56.47403,1.13644,1.12744,1.21714
2015-02-03 04:00:00,-0.00159,1.13207,-0.0001,-0.0917,0.00201,51.94736,1.13644,1.1277,0.46687
2015-02-03 08:00:00,0.00021,1.13254,-3e-05,-0.12162,8e-05,52.50602,1.13673,1.12835,0.36311
2015-02-03 12:00:00,0.01095,1.13412,0.00089,0.98492,0.01012,71.62117,1.14065,1.12759,3.10256
2015-02-03 16:00:00,0.00283,1.13568,0.00183,1.21592,0.0124,74.56129,1.14481,1.12655,2.49737
2015-02-03 20:00:00,0.00073,1.13738,0.0026,0.31112,0.01472,75.29487,1.14851,1.12625,1.87501
2015-02-04 00:00:00,-0.00125,1.13852,0.00307,-0.04533,0.01326,71.37864,1.15075,1.12629,1.31456
2015-02-04 04:00:00,0.0012,1.14019,0.00351,-0.00436,0.00351,72.88307,1.15356,1.12682,1.13247
2015-02-04 08:00:00,-0.00332,1.14131,0.00354,-0.1849,-0.00264,62.74459,1.15515,1.12747,0.4524
2015-02-04 12:00:00,-0.00053,1.14229,0.00349,-0.33544,-0.0039,61.23371,1.15646,1.12812,0.22864
2015-02-04 16:00:00,-0.00244,1.14297,0.00321,-0.25952,-0.00509,54.51834,1.15698,1.12896,-0.21412
2015-02-04 20:00:00,-0.00714,1.14309,0.00239,-0.83748,-0.01343,40.18837,1.15692,1.12926,-1.2665
2015-02-05 00:00:00,-0.00015,1.14318,0.0017,-0.63865,-0.01026,39.9433,1.15647,1.12989,-1.35403
2015-02-05 04:00:00,0.00048,1.14222,0.00118,0.02909,-0.00925,41.21783,1.15486,1.12958,-1.19611
2015-02-05 08:00:00,0.00414,1.14139,0.0011,0.40734,-0.00267,51.15238,1.15363,1.12915,-0.42314
2015-02-05 12:00:00,0.00355,1.14085,0.0013,0.67774,0.00802,57.92709,1.15263,1.12907,0.25459
2015-02-05 16:00:00,0.00272,1.1407,0.00166,0.55058,0.01089,62.37011,1.15262,1.12878,0.73335
2015-02-05 20:00:00,0.00256,1.14068,0.00212,0.46221,0.01297,66.11246,1.1524,1.12896,1.18589
2015-02-06 00:00:00,-0.00137,1.14087,0.00236,0.10392,0.00746,62.42115,1.15235,1.12939,0.93908
2015-02-06 04:00:00,0.00038,1.14114,0.00254,-0.08626,0.00429,63.05685,1.15238,1.1299,0.97831
2015-02-06 08:00:00,-0.00128,1.14153,0.00256,-0.07852,0.00029,59.30224,1.15237,1.13069,0.70633
2015-02-06 12:00:00,-0.00598,1.14203,0.00206,-0.63315,-0.00825,45.30047,1.15209,1.13197,-0.52667
2015-02-06 16:00:00,-0.00717,1.14184,0.00108,-1.14811,-0.01405,34.46086,1.15212,1.13156,-1.87285
2015-02-06 20:00:00,-0.00119,1.14147,0.0002,-0.73373,-0.01562,33.0045,1.15292,1.13002,-1.82565
2015-02-09 00:00:00,0.00188,1.14088,-0.00034,0.06094,-0.01246,37.63128,1.15271,1.12905,-1.34876
2015-02-09 04:00:00,0.00079,1.14002,-0.00069,0.23607,-0.00569,39.57952,1.15186,1.12818,-1.06911
2015-02-09 08:00:00,0.0007,1.13895,-0.00091,0.13152,0.00218,41.38227,1.15072,1.12718,-0.77511
