Time,Open,High,Low,Last,Change,%Chg,Volume
"03/02/2015 12:00",2112.29,2117.52,2109.19,2116.92,4.64,+0.22%,0
"03/02/2015 08:00",2105.23,2114.4,2104.5,2112.28,7.78,+0.37%,0
"02/27/2015 16:00",2104.52,2104.52,2104.48,2104.5,-0.11,-0.01%,0
"02/27/2015 12:00",2111,2112.73,2103.75,2104.61,-6.39,-0.30%,0
"02/27/2015 08:00",2110.88,2112.35,2105.98,2111,0.27,+0.01%,0
"02/26/2015 16:00",2110.78,2110.81,2110.73,2110.73,-0.04,0.00%,0
"02/26/2015 12:00",2111.98,2113.08,2103.76,2110.77,-1.23,-0.06%,0
"02/26/2015 08:00",2113.91,2113.91,2105.92,2112,-1.86,-0.09%,0
"02/25/2015 16:00",2113.67,2113.86,2113.67,2113.86,0.11,+0.01%,0
"02/25/2015 12:00",2115.36,2119.59,2109.89,2113.75,-1.61,-0.08%,0
"02/25/2015 08:00",2115.3,2116.28,2111.39,2115.36,-0.12,-0.01%,0
"02/24/2015 16:00",2115.66,2115.66,2115.48,2115.48,-0.08,0.00%,0
"02/24/2015 12:00",2113.62,2117.94,2109.34,2115.56,1.93,+0.09%,0
"02/24/2015 08:00",2109.1,2116.5,2105.87,2113.63,3.97,+0.19%,0
"02/23/2015 16:00",2109.52,2109.66,2109.52,2109.66,0.26,+0.01%,0
"02/23/2015 12:00",2107.85,2109.53,2103.19,2109.4,1.56,+0.07%,0
"02/23/2015 08:00",2109.83,2110.05,2103,2107.84,-2.46,-0.12%,0
"02/20/2015 16:00",2110.11,2110.3,2110.11,2110.3,0.3,+0.01%,0
"02/20/2015 12:00",2095.3,2110.61,2094.57,2110,14.71,+0.70%,0
"02/20/2015 08:00",2097.65,2097.65,2085.44,2095.29,-2.15,-0.10%,0
"02/19/2015 16:00",2097.58,2097.58,2097.44,2097.44,-0.06,0.00%,0
"02/19/2015 12:00",2101.03,2101.59,2094.98,2097.5,-3.54,-0.17%,0
"02/19/2015 08:00",2099.25,2102.13,2090.79,2101.04,1.37,+0.07%,0
"02/18/2015 16:00",2099.62,2099.67,2099.58,2099.67,0.07,0.00%,0
"02/18/2015 12:00",2095.76,2100.23,2092.98,2099.6,3.83,+0.18%,0
"02/18/2015 08:00",2099.16,2099.16,2092.15,2095.77,-4.57,-0.22%,0
"02/17/2015 16:00",2099.79,2100.34,2099.79,2100.34,0.65,+0.03%,0
"02/17/2015 12:00",2095.28,2101.3,2094.69,2099.69,4.41,+0.21%,0
"02/17/2015 08:00",2096.46,2096.46,2089.8,2095.28,-1.7,-0.08%,0
"02/13/2015 16:00",2096.84,2096.98,2096.84,2096.98,0.22,+0.01%,0
"02/13/2015 12:00",2094.23,2097.03,2086.69,2096.76,2.53,+0.12%,0
"02/13/2015 08:00",2088.78,2094.73,2088.78,2094.23,5.75,+0.28%,0
"02/12/2015 16:00",2088.17,2088.48,2088.17,2088.48,0.31,+0.01%,0
"02/12/2015 12:00",2081.37,2088.53,2081.3,2088.17,6.79,+0.33%,0
