Time,Open,High,Low,Last,Change,%Chg,Volume
04/10/2006,1295.51,1300.74,1293.17,1296.62,1.12,+0.09%,0
04/07/2006,1309.04,1314.07,1294.18,1295.5,-13.54,-1.03%,0
04/06/2006,1311.56,1311.99,1302.44,1309.04,-2.52,-0.19%,0
04/05/2006,1305.93,1312.81,1304.82,1311.56,5.63,+0.43%,0
04/04/2006,1297.81,1307.55,1294.71,1305.93,8.12,+0.63%,0
04/03/2006,1302.88,1309.19,1296.65,1297.81,2.94,+0.23%,0
03/31/2006,1300.25,1303,1294.87,1294.87,-5.38,-0.41%,0
03/30/2006,1302.89,1310.15,1296.72,1300.25,-2.64,-0.20%,0
03/29/2006,1293.23,1305.6,1293.23,1302.89,9.66,+0.75%,0
03/28/2006,1301.61,1306.24,1291.84,1293.23,-8.38,-0.64%,0
03/27/2006,1302.95,1303.74,1299.09,1301.61,-1.34,-0.10%,0
03/24/2006,1301.67,1306.53,1298.89,1302.95,1.28,+0.10%,0
03/23/2006,1305.04,1305.04,1298.11,1301.67,-3.37,-0.26%,0
03/22/2006,1297.23,1305.97,1295.81,1305.04,7.81,+0.60%,0
03/21/2006,1305.08,1310.88,1295.82,1297.23,-7.85,-0.60%,0
03/20/2006,1307.25,1310,1303.59,1305.08,-2.17,-0.17%,0
03/17/2006,1305.33,1309.79,1305.32,1307.25,1.92,+0.15%,0
03/16/2006,1303.02,1310.45,1303.02,1305.33,2.31,+0.18%,0
03/15/2006,1297.48,1304.4,1294.97,1303.02,5.54,+0.43%,0
03/14/2006,1284.13,1298.14,1282.67,1297.48,13.35,+1.04%,0
03/13/2006,1281.58,1287.37,1281.58,1284.13,2.71,+0.21%,0
03/10/2006,1272.23,1284.37,1271.11,1281.42,9.19,+0.72%,0
03/09/2006,1278.47,1282.74,1272.23,1272.23,-6.24,-0.49%,0
03/08/2006,1275.88,1280.33,1268.42,1278.47,2.59,+0.20%,0
03/07/2006,1278.26,1278.26,1271.11,1275.88,-2.38,-0.19%,0
03/06/2006,1287.23,1288.23,1275.67,1278.26,-8.97,-0.70%,0
03/03/2006,1289.14,1297.33,1284.2,1287.23,-1.91,-0.15%,0
03/02/2006,1291.24,1291.24,1283.21,1289.14,-2.1,-0.16%,0
03/01/2006,1280.66,1291.8,1280.66,1291.24,10.58,+0.83%,0
02/28/2006,1294.12,1294.12,1278.66,1280.66,-13.46,-1.04%,0
02/27/2006,1289.43,1297.57,1289.43,1294.12,4.69,+0.36%,0
02/24/2006,1287.79,1292.11,1285.62,1289.43,1.64,+0.13%,0
02/23/2006,1292.67,1293.84,1285.14,1287.79,-4.88,-0.38%,0
02/22/2006,1283.03,1294.17,1283.03,1292.67,9.64,+0.75%,0
02/21/2006,1287.24,1291.92,1281.33,1283.03,-4.21,-0.33%,0
