Symbol,Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
FXZ04,11/02/2004,1341.5,1342.5,1311.5,1341.5,33,+2.52%,565994,1486205
FXZ04,11/01/2004,1289.5,1322.5,1287.5,1308.5,17,+1.32%,359444,1439375
FXZ04,10/29/2004,1289.5,1315.5,1287.5,1291.5,-7.,-0.54%,281607,1425141
FXZ04,10/28/2004,1279.5,1303.5,1279.5,1298.5,27,+2.12%,377764,1412842
FXZ04,10/27/2004,1234.5,1276.5,1225.5,1271.5,50,+4.09%,708653,1342908
FXZ04,10/26/2004,1217.5,1230.5,1203.5,1221.5,10,+0.83%,501236,1338225
FXZ04,10/25/2004,1220.5,1222.5,1198.5,1211.5,-42.,-3.35%,408751,1340680
FXZ04,10/22/2004,1265.5,1285.5,1246.5,1253.5,0,0.00%,507852,1333562
FXZ04,10/21/2004,1263.5,1267.5,1235.5,1253.5,1,+0.08%,329961,1331682
FXZ04,10/20/2004,1242.5,1262.5,1234.5,1252.5,-16.,-1.26%,457757,1321513
FXZ04,10/19/2004,1271.5,1291.5,1267.5,1268.5,4,+0.32%,464432,1325716
FXZ04,10/18/2004,1261.5,1271.5,1239.5,1264.5,-10.,-0.78%,451357,1307006
FXZ04,10/15/2004,1237.5,1280.5,1230.5,1274.5,35,+2.82%,367423,1305859
FXZ04,10/14/2004,1251.5,1268.5,1236.5,1239.5,-9.,-0.72%,559840,1316725
FXZ04,10/13/2004,1278.5,1290.5,1238.5,1248.5,-22.,-1.73%,550358,1331969
FXZ04,10/12/2004,1289.5,1291.5,1250.5,1270.5,-31.,-2.38%,477464,1320764
FXZ04,10/11/2004,1292.5,1301.5,1281.5,1301.5,4,+0.31%,455523,1321043
FXZ04,10/08/2004,1302.5,1327.5,1283.5,1297.5,-17.,-1.29%,249057,1320622
FXZ04,10/07/2004,1319.5,1330.5,1304.5,1314.5,-3.,-0.23%,617444,1311352
FXZ04,10/06/2004,1305.5,1322.5,1297.5,1317.5,11,+0.84%,448451,1290506
FXZ04,10/05/2004,1303.5,1323.5,1294.5,1306.5,-2.,-0.15%,407029,1290258
FXZ04,10/04/2004,1297.5,1314.5,1295.5,1308.5,38,+2.99%,459868,1301647
FXZ04,10/01/2004,1213.5,1278.5,1212.5,1270.5,65,+5.39%,430743,1306848
FXZ04,09/30/2004,1242.5,1247.5,1191.5,1205.5,-24.,-1.95%,559761,1257449
FXZ04,09/29/2004,1219.5,1241.5,1218.5,1229.5,8,+0.65%,560273,1242158
FXZ04,09/28/2004,1196.5,1229.5,1192.5,1221.5,10,+0.83%,420712,1264183
FXZ04,09/27/2004,1219.5,1219.5,1195.5,1211.5,-9.,-0.74%,424468,1258732
FXZ04,09/24/2004,1213.5,1224.5,1203.5,1220.5,8,+0.66%,315241,1247007
FXZ04,09/23/2004,1229.5,1235.5,1206.5,1212.5,-21.,-1.70%,278464,1265530
FXZ04,09/22/2004,1267.5,1276.5,1233.5,1233.5,-41.,-3.22%,519442,1255364
FXZ04,09/21/2004,1254.5,1276.5,1250.5,1274.5,25,+2.00%,502634,1204165
FXZ04,09/20/2004,1264.5,1265.5,1242.5,1249.5,-19.,-1.50%,325708,1192868
FXZ04,09/17/2004,1251.5,1281.5,1242.5,1268.5,19,+1.52%,338064,1204327
FXZ04,09/16/2004,1245.5,1255.5,1234.5,1249.5,-3.,-0.24%,708070,1609536
FXZ04,09/15/2004,1254.5,1266.5,1238.5,1252.5,-4.,-0.32%,1098985,1599369
FXU04,09/14/2004,1257.5,1263.5,1245.5,1256.5,-4.,-0.32%,1110598,1621294
FXU04,09/13/2004,1240.5,1264.5,1239.5,1260.5,31,+2.52%,1229282,1582773
FXU04,09/10/2004,1219.5,1237.5,1216.5,1229.5,1,+0.08%,888055,1491818
FXU04,09/09/2004,1217.5,1229.5,1197.5,1228.5,3,+0.24%,504565,1470244
FXU04,09/08/2004,1235.5,1238.5,1213.5,1225.5,-15.,-1.21%,718197,1423153
FXU04,09/07/2004,1234.5,1249.5,1224.5,1240.5,0,0.00%,558591,1393288
FXU04,09/06/2004,1228.5,1243.5,1223.5,1240.5,12,+0.98%,349347,1396037
FXU04,09/03/2004,1196.5,1231.5,1189.5,1228.5,27,+2.25%,150249,1398474
FXU04,09/02/2004,1173.5,1202.5,1165.5,1201.5,25,+2.12%,495693,1380097
FXU04,09/01/2004,1174.5,1183.5,1161.5,1176.5,15,+1.29%,369209,1381148
FXU04,08/31/2004,1171.5,1176.5,1151.5,1161.5,-22.,-1.86%,381482,1383325
FXU04,08/30/2004,1190.5,1194.5,1175.5,1183.5,-14.,-1.17%,435115,1389391
FXU04,08/27/2004,1176.5,1198.5,1164.5,1197.5,25,+2.13%,161263,1414320
FXU04,08/26/2004,1174.5,1179.5,1163.5,1172.5,2,+0.17%,340008,1387046
FXU04,08/25/2004,1157.5,1176.5,1139.5,1170.5,16,+1.39%,341175,1385401
FXU04,08/24/2004,1148.5,1160.5,1138.5,1154.5,8,+0.70%,351726,1382015
FXU04,08/23/2004,1136.5,1153.5,1125.5,1146.5,17,+1.51%,375012,1370097
FXU04,08/20/2004,1110.5,1130.5,1091.5,1129.5,19,+1.71%,328670,1387869
FXU04,08/19/2004,1130.5,1136.5,1107.5,1110.5,-8.,-0.72%,335912,1385360
FXU04,08/18/2004,1099.5,1118.5,1085.5,1118.5,17,+1.54%,408861,1397095
FXU04,08/17/2004,1091.5,1121.5,1085.5,1101.5,5,+0.46%,393662,1391669
FXU04,08/16/2004,1057.5,1102.5,1042.5,1096.5,34,+3.20%,482229,1379621
FXU04,08/13/2004,1056.5,1076.5,1045.5,1062.5,6,+0.57%,426939,1378337
FXU04,08/12/2004,1090.5,1103.5,1052.5,1056.5,-24.,-2.22%,480563,1389449
FXU04,08/11/2004,1112.5,1113.5,1057.5,1080.5,-28.,-2.53%,610147,1366356
FXU04,08/10/2004,1081.5,1108.5,1078.5,1108.5,30,+2.78%,629743,1411462
FXU04,08/09/2004,1107.5,1110.5,1067.5,1078.5,-17.,-1.55%,368665,1402271
FXU04,08/06/2004,1140.5,1153.5,1095.5,1095.5,-63.,-5.44%,530400,1412328
FXU04,08/05/2004,1183.5,1196.5,1149.5,1158.5,-21.,-1.78%,723101,1329040
FXU04,08/04/2004,1178.5,1182.5,1156.5,1179.5,-12.,-1.01%,374750,1318865
FXU04,08/03/2004,1190.5,1204.5,1185.5,1191.5,0,0.00%,434869,1304306
FXU04,08/02/2004,1186.5,1194.5,1169.5,1191.5,-6.,-0.50%,359737,1295219
FXU04,07/30/2004,1204.5,1213.5,1182.5,1197.5,-3.,-0.25%,379237,1273509
FXU04,07/29/2004,1158.5,1208.5,1155.5,1200.5,58,+5.08%,444153,1268802
FXU04,07/28/2004,1166.5,1173.5,1138.5,1142.5,-16.,-1.38%,507316,1258061
FXU04,07/27/2004,1127.5,1160.5,1124.5,1158.5,42,+3.76%,423410,1262337
FXU04,07/26/2004,1150.5,1160.5,1115.5,1116.5,-30.,-2.62%,404123,1276225
FXU04,07/23/2004,1168.5,1176.5,1138.5,1146.5,-16.,-1.38%,466150,1255071
FXU04,07/22/2004,1179.5,1180.5,1153.5,1162.5,-35.,-2.92%,370890,1260320
FXU04,07/21/2004,1217.5,1226.5,1197.5,1197.5,2,+0.17%,522962,1249689
